Feature	Gain	Cover	Frequency
porcentaje_dolares_tend6	0.0012152962894131	0.00231673209712236	0.00257652709594648
mcomisiones_mantenimiento_lag1	0.00120704163965366	0.00363100266853144	0.00235386426049431
mvr_msaldopesos2_tend6	0.00120521835451349	0.00147121898963142	0.00268255701759036
ccomisiones_mantenimiento	0.00119808322034225	0.0050244560588659	0.00131477102838421
porcentaje_dolares	0.00119506137330885	0.00426712938709688	0.00296883780602886
mtransferencias_recibidas_tend6	0.00119065919054983	0.00201811115484388	0.00280979292356303
mv_fultimo_cierre	0.0011657758113793	0.00156829626951383	0.00295823481386447
Master_fechaalta_tend6	0.00116085394734545	0.00130016002007153	0.00259773308027525
mcomisiones_delta1	0.00115808552664096	0.00227854961631145	0.00291582284520692
mv_status06_delta1	0.00115369285824002	0.000443509597590424	0.000137838898137054
Visa_msaldototal_tend6	0.00114987031162914	0.00167348719126442	0.00269316000975475
mvr_mpagominimo	0.00114213800144352	0.00291980553222556	0.00283099890789181
Visa_fultimo_cierre_tend6	0.00114123638661413	0.00118611141806704	0.00249170315863137
mvr_Master_mlimitecompra	0.00113873629773326	0.00180247098970958	0.00262954205676842
mv_mpagospesos_tend6	0.00112684822066151	0.00128908388941829	0.00249170315863137
porcentaje_dolares_lag1	0.00111797886133024	0.00249360910600729	0.00241748221348064
mv_msaldopesos_tend6	0.00111134072832388	0.00098917592655205	0.00167527276197343
Visa_mconsumototal_tend6	0.00110897011759399	0.00108521629697554	0.0026507480410972
Master_Fvencimiento_tend6	0.00110603660227935	0.00101004892086932	0.00232205528400115
mv_fultimo_cierre_lag1	0.00110125095161414	0.00107677692720077	0.00258713008811087
cmobile_app_trx_lag1	0.00110032991674548	0.00247357442155094	0.00280979292356303
Master_fultimo_cierre_lag1	0.00109857677977913	0.00118338460796998	0.0026507480410972
mvr_Master_mlimitecompra_lag1	0.00108231712175973	0.00170402017136274	0.00237507024482309
ctarjeta_debito_trx	0.00108020754013359	0.00114576906107142	0.00183431764443926
mtransferencias_emitidas	0.00107739661147801	0.00403688704641722	0.00301124977468642
ccaja_ahorro_tend6	0.00107008514410606	0.00211952538319541	0.000339295749260441
Visa_mpagospesos_delta1	0.00106799930118915	0.00131338558642038	0.00295823481386447
Visa_mconsumototal	0.00105305439206473	0.000830390135782898	0.00218421638586409
tmobile_app_delta1	0.00103449098221234	0.000467179414696431	0.00165406677764465
mcaja_ahorro_dolares_lag1	0.00103135745235569	0.00126996274775909	0.00243868819780942
mv_mfinanciacion_limite	0.00102411574536563	0.000902891502287467	0.00233265827616553
internet	0.00100761631723782	0.000648821201799098	0.00136778598920615
Visa_msaldopesos_tend6	0.0010016210126961	0.000998368009530692	0.0024598941821382
cprestamos_personales_delta1	0.00100132495461245	0.000212728496965347	8.48239373151103e-05
mv_status01_tend6	0.000997249115682554	0.000347532100406506	0.000360501733589219
mv_status07_delta1	0.000996502126982229	0.000270505012177506	0.000169647874630221
mvr_mpagominimo_lag1	0.000996467473564998	0.00157364011103568	0.00249170315863137
Visa_mconsumosdolares_tend6	0.000994604906321295	0.000983928582786168	0.00237507024482309
mv_Finiciomora	0.00099026492119865	0.00220278053025194	0.000466531655233107
Visa_msaldototal_lag1	0.000989905303903016	0.00108369382800468	0.00223723134668603
ccomisiones_otras_lag1	0.00098978469633248	0.00312102415762977	0.0026507480410972
Visa_mconsumospesos_lag1	0.000984931007275446	0.00127098983087532	0.00229024630750798
mvr_msaldopesos_tend6	0.000979512401357479	0.00202334713690103	0.00218421638586409
thomebanking_tend6	0.000969298132445295	0.00289319142042213	0.00166466976980904
Visa_msaldopesos_lag1	0.00096656274887706	0.00114917219991158	0.00220542237019287
cproductos_lag1	0.000966068325790433	0.00199475040692286	0.00212059843287776
mpagomiscuentas	0.000966068177616101	0.00288244700560305	0.0017070817384666
mv_Fvencimiento_tend6	0.000944986695862249	0.00117299624453688	0.0022690403231792
mvr_Visa_mlimitecompra_lag1	0.000939538502773762	0.00110758312568691	0.00222662835452165
mvr_mpagospesos_tend6	0.000936034812967161	0.00135017518315468	0.00205698047989143
mv_mfinanciacion_limite_lag1	0.000931340627729686	0.000741870679165677	0.00225843733101481
mpayroll_tend6	0.000930530759009474	0.00207653643897863	0.00147381591085004
mtarjeta_visa_debitos_automaticos	0.000927960588791324	0.00103492845288269	0.00206758347205581
mv_mconsumospesos_tend6	0.000926978825555618	0.00140866096071162	0.00167527276197343
mv_mlimitecompra_lag1	0.000924819008859549	0.000764393040457475	0.00214180441720654
Master_mpagospesos_tend6	0.000913791110009215	0.00466438224414728	0.00192974457391876
ccaja_ahorro_lag1	0.000911664629908092	0.00113478336347826	0.000816430396657937
porcentaje_dolares_delta1	0.000910196830334502	0.00118256625786765	0.00206758347205581
Master_fultimo_cierre	0.000909678035001701	0.000886620844460307	0.00231145229183676
ctarjeta_visa_trx_lag1	0.000905826702638739	0.0031279049005633	0.00261893906460403
mvr_msaldopesos2	0.000903640891767968	0.00124233038119419	0.0026507480410972
mautoservicio	0.000901265520092949	0.00244587027662341	0.00230084929967237
mv_fultimo_cierre_tend6	0.000894579503839611	0.0010698411413945	0.00209939244854898
Visa_fultimo_cierre_lag1	0.000893708729679875	0.000962215205863818	0.00222662835452165
mtarjeta_visa_debitos_automaticos_lag1	0.000892853206315344	0.00344835736618134	0.0021736133936997
internet_tend6	0.00088689796953743	0.00295323574805201	0.00139959496569932
mvr_msaldopesos_lag1	0.000884965288908072	0.00270387034650559	0.00181311166011048
mv_mlimitecompra	0.000882331496452011	0.000866213066054867	0.00210999544071337
Visa_mconsumospesos_delta1	0.000878919572145849	0.000916103787720014	0.00234326126832992
mtarjeta_visa_consumo_lag1	0.000877892829581813	0.0010874355150579	0.00214180441720654
mv_msaldototal_tend6	0.000870247063101768	0.0019191946599754	0.00186612662093243
cprestamos_personales_lag1	0.000869704910262045	0.000820110322729222	0.000572561576876995
mv_mpagominimo_delta1	0.000865869102464918	0.00168593908666287	0.00167527276197343
ccallcenter_trx_delta1	0.0008591322986608	0.000841257610190544	0.000572561576876995
mcuenta_debitos_automaticos_tend6	0.000851745260075902	0.00305119785938652	0.00136778598920615
mautoservicio_tend6	0.000843730321147489	0.00276801095397693	0.00212059843287776
cmobile_app_trx	0.000839926911748291	0.00106639247895108	0.00204637748772704
Visa_msaldototal_delta1	0.000839195681747267	0.00133997705157463	0.00206758347205581
mv_Finiciomora_lag1	0.000833141923171058	0.00213118579739733	0.00053014960821944
ctransferencias_emitidas_tend6	0.00083071041555521	0.00189067991854407	0.0017070817384666
ccaja_ahorro_delta1	0.000816058158928974	0.00496225899450344	0.000498340631726273
Visa_mconsumosdolares_lag1	0.000810129683866152	0.000966494885179435	0.00195095055824754
mv_status06	0.000805548434295248	0.000145569897226397	0.000116632913808277
mv_mpagominimo_lag1	0.000804377529090759	0.00233574768236591	0.00239627622915187
Master_msaldopesos_tend6	0.00080214223648075	0.00171365643573839	0.00164346378548026
ccajas_otras_delta1	0.000801805457746332	0.0015411844688067	0.000275677796274109
mpayroll_dif_tend6	0.00079375099643211	0.00238975464363112	0.00148441890301443
Master_msaldototal_tend6	0.00079358432458336	0.00336401686886715	0.00155863984816515
dif_transf_delta1	0.000790507358965044	0.00162742037550424	0.00212059843287776
Visa_delinquency_tend6	0.000788137848185184	0.00201805196648282	0.000678591498520883
mvr_msaldototal_lag1	0.000786186084144948	0.0011152427598154	0.00169647874630221
Master_mpagominimo_tend6	0.000780604717341643	0.00122508376794012	0.00147381591085004
mpayroll_sobre_edad_tend6	0.000770349385208694	0.00162711921345439	0.00153743386383637
Visa_mconsumototal_lag1	0.000761612571646225	0.0007603738359915	0.0018873326052612
mv_mpagospesos_lag1	0.000755280036188521	0.00128874595535164	0.00196155355041193
mv_cconsumos_lag1	0.000750823648955934	0.00174003417793909	0.00163286079331587
mvr_mconsumospesos_tend6	0.000750175459723137	0.000928601590563223	0.00176009669928854
mvr_msaldopesos2_lag1	0.000748644250074677	0.000915012833376285	0.00237507024482309
mvr_mpagospesos_delta1	0.000746213765227184	0.00106020142244525	0.00179190567578171
Visa_mpagado_tend6	0.000740257776038339	0.00370847723919444	0.00133597701271299
Visa_status	0.000739803422951128	0.000367289344218408	0.000159044882465832
Visa_mpagominimo_delta1	0.000739498477952823	0.000875502414472502	0.00160105181682271
mtransferencias_emitidas_lag1	0.000731595184711966	0.00095500474307198	0.00205698047989143
ctransferencias_recibidas	0.000727845104374782	0.0017262113541985	0.00179190567578171
ctarjeta_debito_trx_tend6	0.00072680030961056	0.00120057011365543	0.00179190567578171
Visa_msaldopesos_delta1	0.000721822188190212	0.000968856738767443	0.00171768473063098
mvr_mpagospesos	0.000720007462645279	0.00109890270344298	0.00195095055824754
mv_mconsumospesos	0.000711012877663781	0.000643801168976272	0.00165406677764465
mautoservicio_lag1	0.000708422982993802	0.000834922075739814	0.00219481937802848
ccajas_trx_tend6	0.000697402927799778	0.00165124388275142	0.00141019795786371
cextraccion_autoservicio_tend6	0.000696503532753714	0.00301856795311136	0.0017070817384666
mv_Finiciomora_tend6	0.000695319627273027	0.00169041291301495	0.000540752600383828
cplazo_fijo	0.000693583994188051	0.00248436090539968	0.000392310710082385
mv_mconsumototal_tend6	0.000692080479942385	0.000834187172782069	0.00130416803621982
ccajas_consultas_tend6	0.000691689378038977	0.00352369862249223	0.00147381591085004
mtransferencias_recibidas_delta1	0.000688384666117092	0.00184106164758372	0.0018873326052612
mpagomiscuentas_tend6	0.000681009053256127	0.00274699616860535	0.00137838898137054
Visa_cconsumos_delta1	0.000680581238017101	0.00140120361105965	0.00148441890301443
mcuenta_debitos_automaticos_lag1	0.000673334397322428	0.00162374801022798	0.00162225780115149
cliente_vip_delta1	0.000667150530349968	0.000577153308752405	0.000519546616055051
mvr_mpagominimo_delta1	0.00066513683940599	0.00164519753449539	0.00152683087167199
ctransferencias_recibidas_lag1	0.000662964622201605	0.00115619918646097	0.00172828772279537
tpaquete7_tend6	0.000659900843662918	0.00256107024962553	0.000275677796274109
mpayroll_sobre_edad_delta1	0.000651634003907339	0.00265021866894335	0.00135718299704177
mv_cconsumos	0.000650380011392465	0.00137049022545096	0.00181311166011048
Visa_mconsumototal_delta1	0.000647199700769776	0.000798660875230117	0.00169647874630221
mvr_mconsumospesos_lag1	0.000637139966507238	0.0010870217339086	0.00159044882465832
Master_mconsumospesos_tend6	0.000636564427812992	0.000841918431736587	0.0015162278795076
mv_status07	0.000636188673582199	0.000348839771667578	0.000233265827616553
mvr_msaldopesos2_delta1	0.000636160882336743	0.000794423725553964	0.00179190567578171
mpayroll_dif_delta1	0.000631328513669213	0.0027656516337429	0.00127235905972666
mtarjeta_visa_consumo_delta1	0.000625870266844525	0.000941138622008897	0.00187672961309682
mextraccion_autoservicio_tend6	0.000621940703534043	0.000886046233717726	0.00135718299704177
mtransferencias_emitidas_delta1	0.000618219197261143	0.00166770239261426	0.00139959496569932
num_nas	0.00061451053376242	0.000943474527910734	0.00135718299704177
mvr_mconsumosdolares_tend6	0.000609439624613668	0.0012775726360277	0.00127235905972666
cplazo_fijo_tend6	0.000602485100096291	0.00218214666919628	0.000487737639561884
mv_msaldototal_lag1	0.000600750873705994	0.00087888021977291	0.00131477102838421
cliente_edad_tend6	0.000597246231983969	0.000591661750200681	0.00139959496569932
mcomisiones_mantenimiento_delta1	0.000594578904429634	0.00299360842852702	0.000816430396657937
ctarjeta_debito_trx_lag1	0.000588579235591089	0.0030495991594915	0.00222662835452165
internet_delta1	0.000588157924735358	0.000348019732662602	0.00096487228695938
Master_msaldopesos	0.000580653654846693	0.00141968481215102	0.00124055008323349
ctarjeta_debito	0.000580423481519895	0.000680412202639469	0.00117693213024716
mvr_mconsumospesos_delta1	0.000577373729764054	0.00149640835851279	0.00152683087167199
ctransferencias_emitidas_lag1	0.000569957810954354	0.00227032665638081	0.00149502189517882
ctarjeta_debito_lag1	0.000564170785283123	0.0009632002967187	0.00126175606756227
mv_mconsumospesos_lag1	0.000557838097269011	0.000576795875536979	0.00143140394219249
Master_mlimitecompra_tend6	0.000553264349364024	0.00404029302568457	0.00102849023994571
Master_msaldototal_lag1	0.000553216617373146	0.000971258435104336	0.00114512315375399
Visa_mconsumosdolares	0.000548815333051369	0.000754122823441584	0.00145260992652126
ccuenta_debitos_automaticos_tend6	0.000543122846633422	0.00145827401142741	0.000901254333973047
mpayroll_dif_lag1	0.000540421116184676	0.00122099616291682	0.00146321291868565
mforex_sell_tend6	0.000538679143138209	0.00483592270449908	0.00128296205189104
mv_mconsumototal	0.000533186160408268	0.00071188851163623	0.00129356504405543
Master_mpagominimo_lag1	0.000525014428753202	0.00107033307267552	0.0010390932321101
mv_mpagospesos_delta1	0.000525004929425165	0.000599939292394238	0.00133597701271299
num_nas_lag1	0.000522008353452237	0.000820114544985847	0.00127235905972666
ctransferencias_emitidas	0.000520786688748124	0.00189238478900115	0.00131477102838421
mvr_mconsumospesos	0.000513566174151609	0.000606048744194747	0.0015162278795076
Master_cconsumos_tend6	0.000512127400631608	0.00117558609998266	0.00125115307539788
ccuenta_debitos_automaticos	0.000501518799233334	0.00126092120742122	0.000763415435835993
mtarjeta_visa_debitos_automaticos_delta1	0.000501497068432887	0.00171898277408732	0.00112391716942521
mvr_mconsumototal_tend6	0.000501074307206618	0.000552002093717262	0.00121934409890471
mvr_mconsumototal	0.00050088949541628	0.000615615072647015	0.00130416803621982
mv_mconsumosdolares_tend6	0.000498462693366991	0.000897224005603196	0.00117693213024716
Master_msaldototal	0.000492894039545271	0.000933166771195027	0.00131477102838421
cliente_vip	0.000484031669400247	0.000804047937306153	0.00043472267873994
mplazo_fijo_dolares_delta1	0.000482597499340815	0.00496383128610248	0.000583164569041384
mautoservicio_delta1	0.000480367419625035	0.00247156385971417	0.00141019795786371
ccaja_seguridad_lag1	0.000477393252094726	0.00116124132855485	0.000328692757096053
